,Tier,Face Color,Blob Style,Face,Shape,Background,Random ID,tokenId,ID
87,2,Dark,Liquid Nacreous Pastel,Blep,Round,Cornflower7,5a8fc3be,8065,87
88,1,Dark,Butter Tiger,Dead Inside,Cat,Lime,13d59533,8066,88
89,1,Dark,Wisteria Periwinkle,Wink Laugh,Fluffy,Steel,5d055a74,8067,89
90,2,Dark,Liquid Mauve Teal Ruby,Blep,Fluffy,Daffodil4,8b4d5e31,8068,90
91,3,Bright,Deep Space,Astonished,Cat,Galaxy,8ad0d473,8069,91
92,3,Dark,Yellow Topaz,Smiling,Round,Gemstone,b8977460,8070,92
93,2,Dark,Liquid Lavender Snow,Glower,Round,Rose1,cdf4368e,8071,93
94,1,Dark,Egyptian Maya,Dead Inside,Cat,Daffodil,4d791423,8072,94
95,1,Dark,Pistachio Lollipop,Blush Laugh,Fluffy,Rose,cf34ebd6,8073,95
96,1,Dark,Emerald Lime,Blep,Poop,Taffy,92452173,8074,96
97,1,Dark,Pearl Cloud,Bloop,Fluffy,Steel,24f0533f,8075,97
98,2,Dark,Liquid Tangerine Lollipop,Astonished,Poop,Lime3,e5214a8e,8076,98
99,1,Bright,Aegean Teal,Blush,Bunny,Taffy,c09c8b47,8077,99
100,1,Bright,Cinnamon Chocolate,Shocked,Round,Mint,b8194aa6,7978,100
101,2,Dark,Liquid Strawberry Eggplant,Winkle,Round,Peach3,b447833,1,101
102,1,Dark,Taffy Cerise,Dead,Cat,Taffy,a88bc6f,2,102
103,3,Dark,Vanilla Sprinkles,Starstruck,Round,Dessert,a350f04b,3,103
104,2,Dark,Liquid Bumblebee Cantaloupe,Weary,Round,Rose2,9ac5eb9a,4,104
105,1,Dark,Grape Bubblegum,Amazed,Poop,Mint,d248a40,5,105
106,1,Dark,Butter Tiger,Sad,Round,Rose,f645e417,6,106
107,1,Dark,Mint Bubblegum,Neutral Smile,Fluffy,Rose,41a6dd58,7,107
108,1,Dark,Carnation Lavender,Wicked,Round,Cornflower,a2805b74,8,108
109,1,Dark,Rufous Tart,Squee,Cat,Indigo,1fe704de,9,109
110,1,Dark,Fandango Lemonade,Tease,Fluffy,Taffy,789002d7,10,110
111,1,Dark,Imperial Peach,Drool,Fluffy,Rose,aa7d7b82,11,111
112,1,Dark,Emerald Lime,Side Eye,Cat,Indigo,1bd0f66b,12,112
113,2,Dark,Liquid Flamingo Punch,Satisfied,Bunny,Peach4,86c793c2,13,113
114,1,Dark,Teal Coral,Dead,Round,Indigo,d4f6875d,14,114
115,1,Dark,Terracotta Sand,Smile,Cat,Rose,f80db081,15,115
116,1,Dark,Apricot Sage,Laugh,Fluffy,Steel,a136669,16,116
117,2,Dark,Liquid Lavender Snow,UwU,Cat,Lime4,a9f27c5b,17,117
118,2,Dark,Liquid Viridian Tea,Satisfied Nya,Round,Indigo4,7f1ef02e,18,118
119,1,Bright,Aegean Teal,Wail,Bunny,Peach,bd31b5ad,19,119
120,2,Dark,Liquid Parmesan Cantaloupe,Satisfied Nya,Round,Peach4,d6780396,20,120
121,1,Bright,Purple Berry,Blush Laugh,Fluffy,Indigo,ea67110a,21,121
122,2,Dark,Liquid Lavender Lime,Hypnotized,Round,Taffy8,334bfee,22,122
123,1,Dark,Pistachio Lollipop,Hypnotized,Cat,Indigo,f8652ac9,23,123
124,1,Bright,Cinnamon Chocolate,Wail,Cat,Indigo,31f3eb3d,24,124
125,2,Dark,Liquid Rose Mint,Cry,Bunny,Indigo8,2956af1d,25,125
126,1,Dark,Electric Amethyst,Neutral Smile,Round,Indigo,ad9e9076,26,126
127,2,Dark,Liquid Daffodil Orchid,Plotting,Round,Peach8,3992da10,27,127
128,1,Dark,Taffy Cerise,Wink Laugh,Fluffy,Taffy,9634fa65,28,128
129,2,Dark,Liquid Spruce Tea,Satisfied,Poop,Daffodil2,f93b55c9,29,129
130,2,Dark,Liquid Navy Thistle,Wink Laugh,Poop,Mint4,ca1cc04b,30,130
131,2,Dark,Liquid Creamy Cerulean Iris,Squee,Bunny,Rose2,b653fa86,31,131
132,2,Dark,Liquid Magenta Sky,Weary,Round,Lime2,f6568d72,32,132
133,1,Dark,Cerulean Eggplant,Astonished,Cat,Rose,2fd75991,33,133
134,1,Bright,Charcoal Obsidian,Smiling,Bunny,Arctic,dd4bc495,34,134
135,2,Dark,Liquid Peppermint Powder,Wink Laugh,Poop,Daffodil4,d71dd91,35,135
136,3,Dark,Hamachi,Struggle,Round,Sushi,aaee049f,36,136
137,3,Dark,Milky Way Sky,Blush Nya,Poop,Galaxy,7bc78bb8,37,137
138,1,Dark,Viola Maya,Mad,Round,Daffodil,142405ef,38,138
139,1,Dark,Coral Lime,Glower,Round,Daffodil,db540ea8,39,139
140,2,Dark,Liquid Spruce Tea,Evil,Round,Rose4,c2730f6f,40,140
141,1,Dark,Rufous Tart,Wail,Round,Mint,a6eaed94,41,141
142,2,Dark,Liquid Spruce Tea,Angry,Round,Lime2,a9d74171,42,142
143,1,Dark,Mint Bubblegum,Blep,Round,Cornflower,e8ee5d46,43,143
144,1,Dark,Arctic Helio,UwU,Cat,Cornflower,33a56bb6,44,144
145,1,Dark,Orchid Periwinkle,Bloop,Cat,Lime,b015c996,45,145
146,1,Dark,Rufous Tart,Wink,Fluffy,Arctic,a3e78873,46,146
147,2,Dark,Liquid Independence Puce,Blush Laugh,Round,Daffodil9,ca1e154f,47,147
148,3,Dark,Blue Sapphire,Tease,Poop,Gemstone,22f48b21,48,148
149,2,Dark,Liquid Independence Puce,Satisfied Nya,Fluffy,Daffodil1,8bd6c2a3,49,149
150,2,Dark,Liquid Electric Fuchsia,Satisfied Nya,Round,Peach2,8710130c,50,150
151,1,Dark,Mellow Lemon,Hypnotized Drool,Cat,Arctic,ad2d7aa,51,151
152,2,Dark,Liquid Periwinkle Maya Pearls,Drool,Round,Cornflower6,2d12ee4e,52,152
153,1,Dark,Cornflower Fuchsia,Flower Eyes,Bunny,Steel,17a54ba9,53,153
154,2,Dark,Liquid Independence Puce,Wicked,Round,Taffy3,cce9a0,54,154
155,2,Dark,Liquid Ultra Cyan,Weary,Fluffy,Taffy3,6e381763,55,155
156,2,Dark,Liquid Mauve Teal Ruby,Weary,Cat,Taffy5,b8553945,56,156
157,2,Dark,Liquid Cotton Parakeet,UwU,Poop,Lime2,5fddc6f3,57,157
158,2,Dark,Liquid Stone Blush Geode,Smirk,Cat,Peach8,2c61477d,58,158
159,2,Dark,Liquid Lilac Macaroon,Side Eye,Bunny,Cornflower6,91df089c,59,159
160,3,Dark,Blue Topaz,Stargaze,Bunny,Gemstone,839ecab6,60,160
161,1,Dark,Grape Bubblegum,Wink Laugh,Bunny,Mint,18d3da6c,61,161
162,1,Dark,Apricot Sage,Smirk,Fluffy,Daffodil,d5e0608c,62,162
163,2,Dark,Liquid Midnight Vanilla,Twinkle,Round,Taffy2,19bee5c2,63,163
164,2,Dark,Liquid Strawberry Eggplant,Amazed,Fluffy,Daffodil2,2d2365ef,64,164
165,1,Dark,Teal Coral,Derp,Fluffy,Mint,c49997d1,65,165
166,1,Dark,Terracotta Sand,Stargaze,Fluffy,Arctic,a4cee172,66,166
167,2,Dark,Liquid Periwinkle Maya Pearls,Weary,Bunny,Cornflower8,cf7877d7,67,167
168,1,Dark,Apricot Sage,Glower,Bunny,Lime,21be6b90,68,168
169,3,Dark,Strawberry Drizzle,Smug,Poop,Dessert,c6793f67,69,169
170,1,Dark,Rose Mint,Amazed,Poop,Rose,7469b16d,70,170
171,2,Dark,Liquid Independence Puce,Satisfied Nya,Cat,Cornflower1,8ee78f,71,171
172,1,Dark,Terracotta Sand,Wink,Cat,Cornflower,34dfd9df,72,172
173,1,Dark,Rose Mint,Flower Eyes,Cat,Taffy,dad9ea0c,73,173
174,2,Dark,Liquid Bumblebee Cantaloupe,Derp Blep,Round,Rose2,4f3e6e29,74,174
175,1,Dark,Imperial Peach,Starstruck,Round,Taffy,d68a5095,75,175
176,1,Dark,Turquoise Mint,Satisfied,Round,Mint,db32b1f4,76,176
177,2,Dark,Liquid Banana Iris,Zany,Round,Taffy2,7b9032b4,77,177
178,1,Dark,Cerulean Eggplant,Blush Laugh,Cat,Daffodil,f9fe19be,78,178
179,1,Bright,Charcoal Obsidian,Hypnotized,Cat,Steel,7d80699c,79,179
180,2,Dark,Liquid Pine Mint Tea,Blush Laugh,Round,Mint3,14bfc7a8,80,180
181,1,Bright,Purple Berry,Blep,Cat,Cornflower,f90b6c79,81,181
182,2,Dark,Liquid White Hydrangea,Wink,Bunny,Peach6,ab625adb,82,182
183,2,Dark,Liquid Ruby Taupe,Neutral Smile,Round,Arctic3,c1f8b83e,83,183
184,1,Dark,Mellow Lemon,Disappointed,Round,Taffy,1c8b79f4,84,184
185,1,Dark,Arctic Helio,Smirk,Cat,Steel,ea253617,85,185
186,2,Dark,Liquid Strawberry Laurel,Smirk,Round,Lime7,58469d57,86,186
187,1,Dark,Ocean Seafoam,Flustered,Fluffy,Steel,75cdaf97,87,187
188,2,Dark,Liquid Stone Blush Geode,UwU,Poop,Steel4,9151c5e2,88,188
189,2,Dark,Liquid Cherry Wine Cream,Drool,Poop,Taffy1,c7a25e9b,89,189
190,1,Dark,Mint Bubblegum,Sparkle Eyes,Round,Lime,41c5d5f2,90,190
191,3,Dark,Veggie Pizza,Disappointed,Fluffy,Pizza,8815355d,91,191
192,1,Dark,Carnation Lavender,UwU,Poop,Arctic,91ac9ac3,92,192
193,2,Dark,Liquid Lilac Butter Sky,Starstruck Blep,Bunny,Taffy7,27d39c4c,93,193
194,1,Dark,Ocean Sand,Satisfied,Round,Steel,ec488df1,94,194
195,3,Bright,Deep Space,Derp Blep,Fluffy,Galaxy,2c398d66,95,195
196,1,Dark,Fandango Lemonade,Teary,Round,Arctic,ee34eb9,96,196
197,2,Dark,Liquid Aegean Vanilla,Mad,Poop,Taffy3,ed959eb6,97,197
198,2,Dark,Liquid Pistachio Mauve,Kuudere,Round,Arctic6,d1cfc14c,98,198
199,3,Bright,Purple Eclipse,Derp,Bunny,Galaxy,4e939849,99,199
200,2,Bright,Liquid Inky Cherry,Smirk,Fluffy,Lime6,b70834b2,100,200
201,1,Dark,Electric Sky,Satisfied Nya,Bunny,Mint,231c8308,101,201
202,2,Dark,Liquid Ultra Cyan,Angry,Bunny,Mint4,783d8c69,102,202
203,3,Dark,Extraterrestrial Cosmos,Neutral Smile,Poop,Galaxy,924ad53a,103,203
204,2,Dark,Liquid Cinnamon Silk,Glower,Bunny,Peach3,db370d53,104,204
205,1,Dark,Mulberry Byzantine,Blep,Bunny,Daffodil,38fea9e4,105,205
206,1,Dark,Salmon Taffy,Satisfied,Fluffy,Mint,30a1e748,106,206
207,1,Dark,Emerald Lime,Dead Inside,Round,Peach,5aa28940,107,207
208,1,Dark,Apricot Sage,Evil,Cat,Rose,98d34d79,108,208
209,2,Dark,Liquid Arctic Cobalt,Blep,Poop,Steel3,5d49346c,109,209
210,1,Dark,Apricot Sage,Smirk,Cat,Lime,403d9284,110,210
211,1,Dark,Mint Denim,Blush Nya,Fluffy,Peach,b294def,111,211
212,2,Dark,Liquid Mulberry Salt,Drool,Round,Cornflower7,679b9919,112,212
213,2,Dark,Liquid Radiant  Cyandra,Blush Nya,Fluffy,Rose9,c025af0a,113,213
214,1,Dark,Ocean Seafoam,Smiling,Poop,Steel,11f76ade,114,214
215,2,Dark,Liquid Ultra Cyan,Teary,Round,Lime1,553d4618,115,215
216,1,Dark,Terracotta Sand,UwU,Poop,Arctic,e85defe,116,216
217,2,Dark,Liquid Tortilla Slate Geode,Amazed,Fluffy,Indigo2,9a7838aa,117,217
218,1,Dark,Mint Bubblegum,Zany,Round,Mint,8af894f7,118,218
219,1,Dark,Pineapple Taffy,Blush Nya,Cat,Steel,db69c9be,119,219
220,2,Dark,Liquid Ocean Tiger Geode,Wink Laugh,Bunny,Mint6,ce2798d8,120,220
221,1,Dark,Jade Space,Blep,Fluffy,Arctic,8df2c2f8,121,221
222,3,Dark,Gold Solar Flare,Bloop,Cat,Galaxy,9d26527a,122,222
223,3,Dark,Pineapple,Sad,Round,Fruit,e5e4039f,123,223
224,1,Dark,Shadow Whisper,Winkle,Round,Taffy,cf3016d9,124,224
225,2,Bright,Liquid Deep Ocean,Smile,Round,Peach6,b642ea47,125,225
226,1,Bright,Purple Berry,Blush,Round,Indigo,10df6b12,126,226
227,1,Dark,Terracotta Sand,Hypnotized,Round,Steel,1ea86df3,127,227
228,1,Dark,Bittersweet Iris,Blush,Poop,Lime,3db431fb,128,228
229,2,Dark,Liquid Strawberry Eggplant,Dead Inside,Round,Lime3,add91e7b,129,229
230,2,Dark,Liquid Botswana Agate,Astonished,Poop,Taffy7,5a3ce037,130,230
231,1,Dark,Mauve Lapis,Smile,Round,Mint,31672b7b,131,231
232,1,Dark,Bittersweet Iris,Weary,Round,Steel,d2510df6,132,232
233,1,Dark,Shadow Whisper,Glower,Round,Indigo,b2c29881,133,233
234,1,Dark,Wisteria Periwinkle,Wink Laugh,Cat,Taffy,a2bd44ee,134,234
235,3,Dark,Saba,Tease,Round,Sushi,4cb05fa2,135,235
236,3,Dark,Pink Bubble Coral,Sad,Round,Coral,a4f16a64,136,236
237,1,Bright,Purple Berry,Sad,Cat,Lime,20a12dc3,137,237
238,2,Dark,Liquid Opaline Turquoise,Plotting,Round,Arctic4,b5fdb872,138,238
239,2,Dark,Creamy Ocean Starfish,Blush Laugh,Round,Peach1,e6d30c0e,139,239
240,1,Dark,Imperial Peach,Blush Nya,Poop,Steel,3c49e1dd,140,240
241,1,Dark,Taffy Cerise,Astonished,Fluffy,Daffodil,9461a30f,141,241
242,2,Dark,Liquid Amaranth Banana,Blep,Poop,Daffodil2,d453ae05,142,242
243,2,Dark,Liquid Amaranth Banana,Glower,Round,Peach7,3fbec3fc,143,243
244,1,Dark,Teal Coral,Melt,Bunny,Mint,87817e06,144,244
245,1,Dark,Egyptian Maya,Side Eye,Fluffy,Lime,983b8b,145,245
246,2,Dark,Liquid White Hydrangea,Sad,Round,Steel8,be328eea,146,246
247,2,Dark,Liquid Raspberry Mint,Flustered,Poop,Lime3,5706a142,147,247
248,1,Dark,Cornflower Fuchsia,Bloop,Round,Taffy,f734f56b,148,248
249,2,Dark,Silver,Blush Nya,Cat,Daffodil3,b969ed56,149,249
250,1,Dark,Ocean Seafoam,Weary,Fluffy,Indigo,433517cf,150,250
251,2,Dark,Liquid Seafoam Iron,Blush Laugh,Poop,Lime6,bf206e40,151,251
252,2,Dark,Liquid Ruby Taupe,Struggle,Poop,Rose2,5693907d,152,252
253,2,Dark,Liquid Cyan Sapphire,Cry,Bunny,Arctic9,24987f94,153,253
254,1,Dark,Mint Denim,Glower,Round,Steel,51f893e1,154,254
255,2,Dark,Liquid Holographic Iris,Neutral Smile,Bunny,Indigo6,2290739e,155,255
256,2,Dark,Liquid Cream Crepe,Sparkle Eyes,Cat,Rose7,d71cb5e4,156,256
257,2,Dark,Liquid Cornflower Salmon,Plotting,Fluffy,Arctic2,d7d393d,157,257
258,2,Dark,Liquid Lavender Sky,Sad,Poop,Daffodil5,e754dba1,158,258
259,1,Dark,Apricot Sage,Amazed,Cat,Arctic,8b633fce,159,259
260,1,Dark,Arctic Helio,Derp,Poop,Arctic,2e637a90,160,260
261,1,Dark,Olive Yale,Blush,Bunny,Peach,930f62ee,161,261
262,1,Dark,Mauve Lapis,Squee,Fluffy,Steel,444690af,162,262
263,2,Dark,Liquid Rose Mint,Bloop,Poop,Daffodil7,66feccff,163,263
264,2,Dark,Liquid Holographic Iris,UwU,Fluffy,Steel4,d00305f2,164,264
265,3,Dark,Veggie Pizza,Drool,Bunny,Pizza,5660f512,165,265
266,2,Dark,Liquid Lavender Sky,Spooked,Cat,Peach1,34bda11c,166,266
267,2,Dark,Liquid Ultra Cyan,Smile,Poop,Cornflower6,345088be,167,267
268,2,Dark,Liquid Creamy Cerulean Iris,Drool,Round,Peach4,afd88c36,168,268
269,2,Dark,Liquid Nacreous Pastel,Tease,Bunny,Arctic1,f80c8632,169,269
270,1,Dark,Egyptian Maya,Derp,Round,Lime,c2606cb5,170,270
271,1,Dark,Carnation Lavender,Drool,Round,Lime,9bd21282,171,271
272,3,Dark,Apple,Blush,Cat,Fruit,1dd9d392,172,272
273,1,Dark,Olive Yale,Side Eye,Round,Lime,2079486c,173,273
274,1,Dark,Cornflower Fuchsia,Derp,Poop,Daffodil,b8749e05,174,274
275,2,Dark,Liquid Viridian Tea,Derp,Round,Taffy4,f9b85f76,175,275
276,2,Dark,Liquid Strawberry Eggplant,Tease,Cat,Rose2,a4415f4f,176,276
277,1,Dark,Ocean Sand,Starstruck Blep,Bunny,Daffodil,27336ebc,177,277
278,2,Dark,Liquid Parmesan Cantaloupe,Smile,Bunny,Daffodil6,fc18761b,178,278
279,2,Dark,Liquid Periwinkle Maya Pearls,Side Eye,Fluffy,Taffy2,40130659,179,279
280,2,Dark,Liquid Mauve Teal Ruby,Blush,Cat,Cornflower5,685cc432,180,280
281,2,Dark,Liquid Tortilla Slate Geode,Weary,Round,Lime5,6d380dba,181,281
282,2,Dark,Liquid Space Mint,Zany,Cat,Cornflower4,659cfbe8,182,282
283,2,Dark,Liquid Midnight Vanilla,Shocked,Fluffy,Peach9,a3b043f6,183,283
284,1,Dark,Mint Denim,Cry,Fluffy,Cornflower,509bf2a6,184,284
285,1,Dark,Rose Mint,Derp,Round,Steel,33f5a30b,185,285
286,3,Dark,Hirame,Blush,Round,Sushi,b851b2b1,186,286
287,2,Dark,Liquid Rose Mint,Glower,Poop,Mint2,457895b,187,287
288,1,Dark,Jade Space,Shocked,Poop,Cornflower,b8c5d21c,188,288
289,3,Dark,Soda Water,Energized,Round,Drink,d6b335a9,189,289
290,1,Dark,Egyptian Maya,Satisfied,Cat,Lime,2945abe3,190,290
291,2,Dark,Liquid Ocean Tiger Geode,Smirk,Fluffy,Indigo7,5d521a15,191,291
292,2,Dark,Liquid Raspberry Mint,Teary,Poop,Steel3,691f4ddd,192,292
293,1,Bright,Purple Berry,Hypnotized Drool,Fluffy,Taffy,8022542e,193,293
294,2,Dark,Liquid Banana Ocean,Weary,Bunny,Taffy5,a71bad1c,194,294
295,2,Dark,Liquid Mulberry Salt,Cry,Bunny,Indigo4,32a23e07,195,295
296,1,Dark,Ocean Sand,Blush Laugh,Cat,Taffy,eeb3c1a8,196,296
297,2,Dark,Liquid Aegean Kelly,Satisfied Nya,Fluffy,Mint2,93eeb19a,197,297
298,1,Dark,Grape Bubblegum,Neutral Smile,Round,Mint,460f4512,198,298
299,1,Bright,Aegean Teal,Wail,Poop,Cornflower,5e2d2d24,199,299
300,2,Dark,Liquid Strawberry Eggplant,Tease,Fluffy,Rose4,41a93f3,200,300
301,2,Dark,Liquid Caramel Cream,Drool,Fluffy,Cornflower7,a5d1c36c,201,301
302,2,Dark,Liquid Lilac Macaroon,Evil,Fluffy,Peach9,b1ae7e16,202,302
303,1,Dark,Coral Lime,Disappointed,Poop,Mint,b89ac089,203,303
304,2,Dark,Liquid Disco Confetti,Satisfied Nya,Round,Indigo8,4eade398,204,304
305,2,Dark,Platinum,Shocked,Poop,Steel7,4bd008ec,205,305
306,2,Bright,Liquid Heather Eggplant,Blush Laugh,Round,Peach8,a571ac26,206,306
307,3,Dark,Diamond,Plotting,Poop,Gemstone,47166850,207,307
308,1,Dark,Cornflower Fuchsia,Side Eye,Poop,Indigo,c0c11a59,208,308
309,1,Dark,Egyptian Maya,Stargaze,Round,Peach,177d8001,209,309
310,1,Dark,Mellow Lemon,Bloop,Poop,Cornflower,33d36955,210,310
311,2,Dark,Liquid Banana Iris,Astonished,Cat,Cornflower8,b580d474,211,311
312,1,Dark,Wisteria Periwinkle,Weary,Bunny,Rose,9d6fbe24,212,312
313,2,Dark,Liquid Seafoam Iron,Blush Nya,Bunny,Lime9,5c4ee15d,213,313
314,1,Dark,Rufous Tart,Amazed,Round,Peach,257c4359,214,314
315,3,Bright,Purple Eclipse,Angry,Cat,Galaxy,88c8efdc,215,315
